Case,CL,CD,Cp_1,Cp_2,Cp_3,Cp_4,Cp_5,Cp_6,Cp_7,Cp_8,Cp_9
AOA_-20_GUST_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOA_-20_GUST_20,0.8281901404389719,0.28234443338551374,-0.3058890005626349,-0.7456098567397487,-1.470026669057275,-2.1650051431370727,0.15098845075871353,1.1308707091636543,0.6084949920071672,0.2776578014174248,0.12170302961316318
AOA_-20_GUST_20,0.9179992380206915,0.302586797365985,-0.3617812614276183,-0.7880422419365796,-1.7379317568526973,-2.1208807871316853,0.09291685005491548,1.097734240944108,0.5887837258615393,0.26341519964480015,0.10567178160945155
AOA_-20_GUST_20,0.9846184177222935,0.3220736547357638,-0.4022514488657474,-0.8201583555671229,-1.8803118480403362,-2.0922396393652165,0.05355333655624314,1.0906715491884762,0.5967563582065277,0.2661025812959369,0.1072681184576325
AOA_-20_GUST_20,0.967672224978339,0.3063130500220317,-0.1952200809567583,-0.6817082092890652,-1.7410071572921366,-1.9190997896601734,0.15702846073170482,1.2103746098907613,0.7144086478708501,0.38210371298604795,0.2510469203285097
AOA_-20_GUST_20,1.0923003402241986,0.35903578494482646,-0.45415160177113295,-1.0282747969043657,-1.959398031477374,-2.0531676064716993,0.01575513258999034,1.1102069017114153,0.6326101259081476,0.2880966515681471,0.11838195325995647
AOA_-20_GUST_20,1.1348755472820578,0.37444211920837955,-0.4553443263479609,-1.1585373270524049,-1.970475654867521,-2.0291865220840046,0.00222353735532424,1.116868665832825,0.6475072303647391,0.30099058563171155,0.12602844711529287
AOA_-20_GUST_20,1.180778512833536,0.39232248647644646,-0.4680361313278997,-1.2852491801036847,-1.9811982641592112,-2.0028009522735255,-0.0033057473585542396,1.1291522677570653,0.6651255854331887,0.3168109960014085,0.1361827704986608
AOA_-20_GUST_20,1.2238578071751547,0.41016719454738415,-0.5010740240551939,-1.4036836724050605,-1.9859868422771714,-1.9751053705827384,-0.009869167128320408,1.135599432582706,0.6758919759344418,0.32504222051483656,0.13848113461044104
AOA_-20_GUST_20,1.2963562008710985,0.44139175463162433,-0.6076637702564182,-1.559611235467733,-2.019264649381241,-1.9683918426286162,-0.027191554475859414,1.135538609321142,0.6823268722900672,0.32837860716265665,0.13256772096298672
AOA_-20_GUST_20,1.316677128533979,0.45097068767139775,-0.6253840042125747,-1.6219945060406387,-1.9818812154447918,-1.9141218194809828,-0.011189336822575002,1.151673673709268,0.6988951397723737,0.34396316910123304,0.1492014387615541
AOA_-20_GUST_20,1.346284078861366,0.4663858154881591,-0.6828493932545786,-1.690865298018517,-1.956579852406002,-1.8717552946583553,-0.00172787337435025,1.1631496401731822,0.7074567147810084,0.3480407891296556,0.14959612721498786
AOA_-20_GUST_20,1.3907375288844863,0.4874290284160598,-0.7760603231757996,-1.758797793827041,-1.9363228620439856,-1.8314501311949454,0.008442668310249701,1.1745143914938267,0.720281373861237,0.3596298375465582,0.1599118447261426
AOA_-20_GUST_20,1.4349701446704672,0.5087267694902956,-0.8806882693939518,-1.7970567220090345,-1.9077677450144603,-1.7843576993900454,0.024986094133177233,1.1907891405198852,0.7379091716682331,0.37701638745331456,0.17708754828165468
AOA_-20_GUST_20,1.4945444502045024,0.5365173879153677,-1.0680173777952355,-1.849046143906093,-1.8998017868477277,-1.755741891856292,0.028891189628973177,1.1967235447537072,0.7463630592263849,0.3843825685319035,0.1846314486496028
